Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-12-01","2,031","10,417","4.34","0","781","166","10","39","846"
"2017-12-02","1,538","2,018","0.84","0","724","75","0","0","232"
"2017-12-03","2,087","11,491","4.79","0","629","150","16","59","920"
"2017-12-04","1,991","9,810","4.09","0","698","169","15","30","809"
"2017-12-05","1,938","8,490","3.54","0","630","188","7","12","751"
"2017-12-06","2,472","18,161","8.1","0","632","139","29","107","1,351"
"2017-12-07","1,948","8,957","3.73","0","630","163","14","14","735"
"2017-12-08","1,989","9,815","4.09","0","812","130","22","34","768"
"2017-12-09","1,726","5,131","2.14","0","1,195","126","4","12","487"
"2017-12-10","2,189","13,154","5.48","0","629","181","10","60","1,045"
"2017-12-11","2,080","11,056","4.61","0","678","170","28","44","925"
"2017-12-12","1,957","9,071","3.78","0","748","185","3","7","749"
"2017-12-13","2,695","21,738","10","0","634","149","33","114","1,591"
"2017-12-14","1,895","7,884","3.29","0","699","140","13","32","682"
"2017-12-15","1,842","7,402","3.09","0","715","119","15","25","609"
"2017-12-16","2,643","18,835","9.17","0","695","219","10","89","1,556"
"2017-12-17","2,029","10,458","4.36","0","606","147","9","49","841"
"2017-12-18","2,374","10,977","4.58","0","593","189","12","68","1,245"
"2017-12-19","2,342","12,291","5.12","0","582","157","24","80","1,210"
"2017-12-20","2,391","16,567","7.64","0","740","140","26","76","1,234"
"2017-12-21","2,316","15,056","6.28","0","575","212","33","60","1,217"
"2017-12-22","3,080","27,702","13.14","0","533","178","43","156","2,058"
"2017-12-23","2,315","12,921","5.39","0","550","357","22","27","1,314"
"2017-12-24","2,299","13,054","5.44","0","517","283","3","71","1,251"
"2017-12-25","1,781","4,401","1.83","0","662","222","0","0","608"
"2017-12-26","2,149","11,266","4.7","0","611","262","18","26","1,053"
"2017-12-27","2,183","13,161","5.49","0","705","233","16","13","1,043"
"2017-12-28","1,879","7,820","3.26","0","714","156","15","11","670"
"2017-12-29","3,099","26,982","13.36","0","574","225","15","119","2,060"
"2017-12-30","1,931","8,255","3.44","0","599","147","10","44","739"
"2017-12-31","1,985","8,978","3.81","0","582","217","0","0","804"

